start,end,text
245.977,256.488,"Are you talking about like if you're planning a certain meal for dinner and it's a few hours before, I don't think there's anything wrong with like looking forward to that meal and being like, I can't wait to have that meal."
256.508,257.249,That'll be a lot of fun.
257.748,270.811," I guess, but I mean, I like, I tend to know, like I'll be at home the night, like getting ready to go to bed and I'll be hungry and I'll have breakfast to bring to work with me, but I'll already know where I'm going to go for lunch the next day."
272.471,274.031,That is planning in advance.
274.131,278.812,"And you know what, maybe it's, for me, my whole life is like that because I only ever have a few things."
279.312,281.353,"So it's like, well, it's probably going to be one of these three."
281.373,281.993,I like all of them.
282.153,283.233,So this works out well for me.
283.853,285.033, I think about food way too much.
285.073,296.176,But the other thing about this diet is that I have not had anything to drink since I woke up New Year's Day.
296.736,297.436,"Alcoholic, you mean."
298.056,299.697,"Yeah, I've had water and tea."
299.777,300.157,Okay.
300.237,300.597,That's it.
302.517,305.278,And I am not sure
307.501,310.703, that I have been sober this long since I turned twenty one.
311.143,311.444,Wow.
312.124,322.05,It's been five days and like I don't know that I've because usually if I'm sick I won't drink but I don't tend to get sick for more than three or four days.
322.371,322.551,Right.
322.771,322.911,So
324.628,328.67," I think five days might be, this might be the longest I've been sober since I turned twenty-one."
328.871,331.032,"Do you feel any different, like physically?"
331.092,332.513,Do you notice a difference?
332.553,333.774,"Again, I'm going to get all this out here."
335.355,339.837,"You know, I don't like drink to excess every day."
339.857,344.48,I actually very rarely drink to the point of drunkenness anymore.
344.5,349.403,"That happens once every few months maybe, some sort of special occasion, a party or something."
349.963,352.225,But I do tend to have drinks every day.
352.825,361.887, And a big part because I work my day job and then I usually either come here to record or I go straight out or I go to a press screening.
361.947,364.348,I don't want to get into what that is.
365.588,367.088,But sometimes I have these screening things.
369.049,370.929,And I also take public transportation.
371.77,375.11,So I often don't get home.
375.53,378.811,"I leave work, I leave the house at eight in the morning."
378.831,381.512,I often don't get home until maybe ten thirty or eleven.
383.193,402.744," I want to unwind and so I tend to take the edge off I tend to turn on the my Another peek inside the curtain I turn on the NHL network to watch the highlights from the day's games and I pour myself a rum and coke and Then sometimes I pour myself another rum and coke after that and Natalie's in the kitchen crying No, she goes to sleep because she gets up and goes to the gym early."
402.884,403.824,"Oh, she's much more."
404.245,411.429,She's much healthier than I am And so I have found the past couple nights
413.393,418.531, Going to sleep stone cold sober is sadly a weird thing for me.
419.966,447.001, criminally and you are really putting a lot out there but not like again i'm not like drinking to the point of right it's just i don't think it's that abnormal to have a drink at the end of the day occasionally two drinks at the end of the day no um but uh i've realized that i'm a little bit like lubricated when i go to sleep most of the time and like i've it's taken me a bit longer to fall asleep the past few nights
447.532,447.932, All right.
447.952,450.955,So what are the effects of your diet?
451.355,453.877,Well... Are you cranky?
454.218,455.639,Yeah.
455.739,456.519,Very much so.
458.741,461.243,"I've cut out soda, and I wasn't really drinking a lot of soda."
461.263,468.81,"I was drinking one or two cans per day, usually one these days, in eliminating it."
468.93,474.614,"But I would go out to coffee with friends on a pretty regular basis, and I would drink a lot of coffee."
476.956,495.032," I thought I was doing pretty good with caffeine and then I didn't have it for two days and I had pounding headaches and I was irritable, very irritable at all my friends and at myself and me being who I am and I would do a thing where"
496.696,498.657," Okay, I'll just be honest."
499.037,506.24,"The phrase fat fuck has been thrown around in my head, which is like, how did you let it get to this point, you fat fuck?"
506.461,508.381,That's what it was for the first few days.
509.042,512.883,And then I kind of have come out of that a little bit.
512.924,515.024,"The headaches persist, but I take care of those."
516.085,518.106,But now I'm getting to- Those won't last the whole month.
518.586,519.446,"No, I don't think so."
520.087,524.629,And so I'm getting to a point where it's becoming tolerable.
525.109,538.552," And it's interesting because I'm doing sort of the Atkins thing, so I'm eating a lot more meat, and that means for breakfast, rather than have the bowl of cereal that I normally would have, or let's be honest, two or three, Apple Jacks are good, I don't know what to tell you."
539.153,544.674,"And so, rather than do that, I now make bacon and eggs, both of which are perfectly fine to have."
545.354,548.775,"And even bacon, which is greasy as can be, but"
549.502,550.342, What do you put in the pan?
551.883,553.484,"I put, for bacon, nothing."
553.864,555.024,What about for the eggs?
555.925,556.125,Butter.
556.745,565.489,"This is how strict my diet is, that I have switched to either olive oil or using a non-stick pan."
566.589,567.89," Well, you're a better person than I am."
567.93,575.833,"So when I do cook various meats, like pork chops and chicken and that sort of thing, I do use olive oil for that, yes."
576.294,581.316,"But anyway, so here's what I've rediscovered."
582.436,583.537,Bacon is awesome.
584.577,586.458,I forgot how wonderful it is.
587.098,589.519,I never forgot.
590.94,591.6,It's one of those things.
593.106,597.247," I would be on a, when I was younger, like I would go on like a, like a food kick for a while."
597.667,600.608,"And I remember for a long time, it was just like, man, bacon is great."
600.668,604.689,"And then just for some reason, I guess I just didn't have it very often and then we didn't buy it."
605.229,611.251,"And, uh, and then I had it again for this and I was like, oh, why did, why did I stop having this?"
611.891,612.171,"This is the,"
612.811,642.203, is the best thing and i was uh... so yes and now every morning i very much i still not a huge fan of eggs but i am uh... because you can just have bacon in the morning that's kind of insane and uh... and so although you know when we live together in college there are many mornings that i had just bacon or just bacon on toast yes and i just have a and that's the thing is my go-to peanut butter toast that's out now i have peanut butter on celery which is awful because celery is awful
642.523,643.644, But you can still have peanut butter.
643.844,644.265,"Yeah, you can."
644.285,644.545,Yeah.
644.745,644.965,Okay.
644.985,645.806,You can't have a lot of it.
646.446,647.107,But you can have some.
647.487,647.708,All right.
647.968,654.013,"But But yeah, so it's, you know, I'm sure people this has nothing to do with film, this whole thing."
654.113,659.798,But people seem to like that look back episode and how much we talked about ourselves.
659.858,660.639,So you're welcome.
660.979,661.579, I guess.
661.78,663.781,So let me get into another thing.
663.801,667.744,It'll be a little bit of a thing and then we'll get it into our main topic.
669.965,674.448,Monday I'm home from work as are I understand a lot of people are but my girlfriend wasn't.
675.189,676.63,So I'm home hungry.
680.092,684.795,And you know I got very little to do.
684.815,686.756,I did clean up the apartment.
686.776,687.557,I'm a good boyfriend.
688.457,690.719,Good roommate as you know.
693.962,694.562," Yeah, I guess so."
695.523,696.304,I cleaned up.
696.324,699.447,"You know what, I did not register that you had said roommate."
700.388,701.409,I only heard boyfriend.
701.649,706.233,"And then you said, as you know, I was like, I don't really pay much attention to your relationships, but okay, sure."
706.253,708.115,"No, but I cleaned up."
708.556,709.677,"Yes, you were very good."
709.737,712.74,"You cleaned up more often than I did and much more thoroughly, I think."
712.8,713.04,"Oh, good."
713.36,714.861," Okay, so I did a little of that."
715.321,717.861,"But you know, that takes up not very much time."
718.322,720.122,I don't have a mansion.
724.744,731.126,"So I watched a movie, a blu ray that I had from Netflix, which we'll get into later."
731.646,735.087,And then I still had a couple hours to kill.
737.026,758.371, noticed online that at the three dollar theater that's uh very close to your place and not too far from my place we live near each other um brett ratner's tower heist was about to start yeah so i disgrace to brett ratner's tower heist yes yeah um yeah uh vile homophobe brett ratner
759.552,763.474," I've started... By the way, vile, that's not new."
764.134,767.436,"Like, the homophobe thing is new, although we all kind of knew it anyway."
768.096,769.677,"The vile thing, that's been around a while."
770.157,783.083,"My new thing, this is off-topic, and I don't know how you'll feel about this, but because Santorum, Rick Santorum, has been doing well in the polls, I've taken to referring to him in everyday speech as vile homophobe Rick Santorum."
783.203,784.024,That's where that came from.
784.264,788.666,Because people need to remember that he is a vile homophobe.
789.588,815.464, well it's uh... there's plenty of i have no i have no supporter of rick santorum don't get me wrong like there are some people that i do like and some uh... some people in the race i do like and some that i don't and and he he had this big surge uh... and a lot of people like oh he's like he's like mike huckabee from a few years ago who won the iowa caucus and that's very exciting and part of me is like mike huckabee you may not like him and that's that's fine
816.645,826.58, he he tried to back away from like not necessarily his beliefs he wasn't ashamed of them but it's like vote for me because i was the a governor of arkansas not because i was a pastor
827.606,849.477, whereas santorum just he does a lot of things i don't like about republicans and about and about fellow christians like he just he i don't think he does it purely for political motive but it'd be like that's what it's all about for him and it's just like i hate to say it but not many people are that like economy is the big thing right now and you're not speaking to any of that
850.217,858.701, And I think it really speaks to how much Republicans don't care for Mitt Romney that they are entertaining every single person except him.
860.341,863.623,I've heard the term presumptive nominee tossed around about Mitt Romney.
863.843,864.043,Yeah.
864.323,875.208,And I think I had this theory that it's liberals who are presuming he's the nominee because he's the nominee that liberals would be most likely to vote for if that's the only option they had.
875.888,902.755, uh... probably i mean they do like ron paul has certain liberal uh... appeal as does john huntsman john huntsman's not really an entity in the government will close the fact that he's a captain be part of it damn right okay because that's the thing he's somebody he's not unlike mit romney by the way and far as far as like his demeanor and i don't mean just because they're both mormon but they just they kind of have a uh... that similar this kind of uptight demeanor and yet picturing him sitting
903.955,911.34," I have to assume bolt upright in his chair, listening to Captain Beefheart, it does not compute."
912.021,913.782,"Okay, hold on, what was I going to say?"
914.042,915.463,Presumptive nominee.
915.983,919.105,"Why, what is it that Republicans don't like a bit about Mitt Romney?"
919.225,923.969,"Is it the Mormon thing, because so many Republicans are Christian, or is it like the healthcare thing?"
923.989,925.069,"It's the healthcare thing, I think."
925.85,926.79,That makes sense.
926.81,933.235,"People say that he was more moderate, and there's not, I don't think people hate that term, but"
933.735,953.564, in the republican party it's like well if you're anywhere even close to obama well then and he's closer to obama than these guys are so we don't like that but it's like well he also is that's the reason he is viewed as much more electable than the others because he actually does have a larger general he's gonna have to
954.604,981.602, exactly have to be more moderate exactly it's a it's a very strange thing but i think i was going to say is that i'm glad you didn't that you're okay with me really disliking rick santorum because okay obviously my views tend to line up a little more with the left i have some uh... more conservative uh... views on some topics but jenny i'm with the left so there are a lot of public and uh... you know candidates that i'm crazy about in any sense
983.183,986.324," They're the ones that I disagree with very, very strongly."
987.265,993.947,"And then there's Rick Santorum, whom I just outwardly dislike because he is a vile homophobe."
995.628,1001.45,"And he's got, he has such a, I do not consider Andy Samberg on SNL to be a good impressionist."
1002.47,1006.552,"He's got Rick Santorum down, just like vaguely angry."
1008.214,1024.527, uncomfortable in his own skin uh and just like just like shifting around like oh i just can't believe i have to be here with people that seems to be his general thing and i just uh i mean here's the thing like he's he i've i've like i said i've watched like debates and i've watched interviews and stuff and and
1026.549,1051.044," He's he seems to be like a good man in some respects and when he talks about like his family like I Really feel like he's not exploiting that for his own political gain, and it's just like oh, it's that's interesting I'd like more of this like a gentler person but but then like when it comes time to like all right time to campaign and I'm going to represent just the just the"
1051.864,1053.005, Not necessarily the worst.
1053.065,1055.267,"There have been worse, I have to assume."
1056.868,1061.212,Because I remember not liking Giuliani in spite of the fact that he was moderate.
1061.252,1064.475,It's just his answer to everything three years ago was nine-eleven.
1064.495,1065.956,That's all he ever said.
1065.976,1068.998,But don't worry.
1069.319,1072.561,"Santorum's going to go, like everyone else, he's going to go down."
1072.901,1078.806,"Especially once people are like, oh, look at all the interviews he's giving talking about how much he defends the idea of earmarks."
1078.826,1080.047,That's not going to go over well.
1082.039,1083.06, So do you think it'll be Mitt Romney?
1083.08,1084.961,"You think the party will come to its senses and say, this is the guy who could beat?"
1084.981,1085.041,Yes.
1085.061,1085.481,I think it'll be that.
1085.501,1087.382,"And I think it's just, it's like, it's one of those things, like he has stayed at the solid."
1087.402,1087.803,"I'm sorry, everybody."
1087.823,1088.723,I have been following this quite a bit.
1088.743,1103.953,He stayed at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at the solid at
1104.417,1107.579," Bachman, Perry, Cain, Gingrich, Santorum."
1107.599,1108.16,He's the tortoise.
1108.86,1109.481,He's the tortoise.
1109.781,1113.904,"He's also, as they said on... SNL does a really good job with Romney."
1114.244,1115.205,He is Forrest Gump.
1117.166,1118.387,And the country is Jenny.
1118.787,1122.85,"They'll try everyone else, they'll sow their wild oats, and he'll just be there waiting."
1124.122,1148.137, good old boring Forrest Gump all right so I saw Tower Heist okay and upon leaving the theater I jumped on Twitter I'm in like a sort of somewhat tweet heavy phase right now I go through periods but I was like I want to tweet and what I tweeted I gotta do something instead of drink right was
1149.458,1160.001, Was my sort of surprise that I didn't hear more people Defending tower heist because it is it is a pretty decent movie.
1160.341,1170.763,Mm-hmm It's got some problems most of them in terms of just sheer physics I'm I'm pretty sure I don't think this is a major spoiler.
1171.243,1171.964,I'm pretty sure that
1173.964,1178.805," a single elevator can't hold eight people, a dog, and a motherfucking Ferrari."
1179.865,1182.766,I don't think that- Is it a freight elevator?
1183.166,1183.306,No.
1183.486,1183.806,It might.
1184.166,1185.286,It's a regular elevator.
1186.367,1189.867,"I don't think that- even if the Ferrari's on top of the elevator, I don't think that can happen."
1190.387,1197.709,I don't think you can hang a Ferrari out the window of a building by hooking it at one point.
1197.769,1200.389,I feel like you're just gonna hit- you're gonna keep that part.
1200.769,1203.13,The rest of the car is gonna break off and fall to the ground.
1203.982,1231.83, uh... i there's lots of things i don't think browser put together well that's all i can most of them having to do with the ferrari thing but there are some other uh... things that that don't work and really bothered me uh... like matthew bradyk risks his life to get the ferrari in the lower window but then they don't know what to do with it it until casey affleck comes along it doesn't make any sense you didn't think the plan out more than just get the ferrari down a few floors
1232.93,1237.175, and Matthew Broderick almost dies for a plan that you didn't have.
1238.236,1241.559,"You had point A to B, but you didn't have the rest of the plan."
1241.579,1242.9,It really bothered me.
1243.181,1244.502,"Anyway, this is not the point."
1244.762,1251.109,The point is that it is generally a fun movie that largely steers clear of the
1253.897,1273.927, cringing uh... stereotype type humor that i was expecting from brett ratner mhm uh... and frankly from letter period and ready murphy uh... i mean that there's a little bit of it but it comes back to character and uh... there are ways that are defensible by character uh... and so i was i was okay with that uh... i liked that you know uh...
1276.949,1283.016," I liked that it's very sort of timely, like the nine-nine-percent-against-one-percent theme, you know?"
1284.558,1290.124,"And that it was consistent in that theme, not just introducing it and then moving on to the heist thing."
1290.144,1291.125,It really was about that.
1293.368,1297.01," And by the way, if you're one of those critics, like, I love J.R."
1297.05,1298.331,Jones for Chicago Reader.
1299.312,1299.852,I really do.
1299.932,1302.073,He's actually one of my favorite and most read critics.
1302.454,1310.999,"But when he says, like, if you want to see a bunch of rich people whine about your problems, rich actors is what he means."
1311.279,1313.821,"It's like, come on, we're not in high school anymore."
1313.941,1315.622,"Like, have some pragmatism."
1315.862,1316.743,The actors are rich.
1317.443,1317.904, God forbid.
1317.944,1318.564,That's what you need.
1318.985,1320.907,That's just a baseline.
1321.448,1321.948,Get over it.
1322.309,1322.809,They're rich.
1323.39,1326.373,Rich people's opinions are worthwhile as well.
1327.174,1329.297,"Anyway, that's my rant at J.R."
1329.317,1331.059,Jones who will never hear this or care.
1331.92,1332.5,You don't know that.
1334.042,1335.142, He's a big fan of Bill Dwyer.
1339.223,1339.784,I liked that.
1339.944,1345.985,I liked that the cast was a lot of different colors.
1347.046,1359.509,"A few too many of the leads are white, which is disappointing given that the original idea for the film was that it would be, it was pitched as a quote-unquote Black Oceans Eleven and then they kept"
1360.329,1381.116, characters to white but there are obviously michael pena is in a gallery that's it a very eddie murphy uh... and there's a number of other uh... black and hispanic and asian characters in the movie which is realistic uh... in terms of a portrait of the staff at a hotel right uh... or or or uh... an apartment building would look like
1382.336,1400.375, um and it was uh it was fun it could it could have used a few more jokes but it was it was fun um how is i know that this might go against the uh sort of the multi-racial thing for me to ask about alan alda the whitest of the of the cast members to be
1400.755,1421.965, right he's the one character right you can turn all the other characters uh... black he's the character needs to exactly but i just feel like my concern is with him because i'm a jerk no he's great and that's that to me this is a a side note with heist movies like that you need to really establish not merely the pure evil
1422.905,1430.369," of not pure evil, but you know what I mean, like the powerful antagonism of the antagonist."
1431.809,1436.712,But you need to make him like able and capable and intelligent.
1436.932,1445.556,"And it's one of the reasons why I think the Soderbergh Ocean's Eleven works is because Andy Garcia, it's a great performance and he's written very well."
1445.596,1451.479,It's like this guy is smart and capable and it probably would take eleven
1452.219,1477.899, professional con artists and thieves to rip this guy off and so that's why when i saw like this huge cast and there's alan alda who is a wonderful actor but i had said he is getting a bit older and maybe he and it might concerns that he might appear somewhat frail no okay i mean the movie starts with him swimming laps in his pool okay that's what it's like i don't know that he is not okay that's good
1479.6,1484.585," Anyway, all that aside, I had a very fun time watching Tower Heist."
1486.147,1496.658,"And so I tweeted, surprised that I didn't hear more people defending it because there was so much negativity around it when it came out, a lot of it having to do with Brett Ratner and his vile homophobia."
1499.481,1522.894, that I guess the in retrospect as you pointed out to me the reviews weren't awful I think they just got kind of drowned out and so I was surprised that I hadn't heard more about that and maybe I didn't know I didn't make that all that clear in my first tweet I just said how hey how come no one told me that tower heist was good mm-hmm
1524.855,1534.689," Just a one-off tweet turned into an hours long thing of people not being able to, I guess, swallow the idea that I liked Tower Heist."
1535.635,1538.016," Yeah, I mean, you run across that from time to time."
1538.097,1547.882,Just the fact that you are unwilling to just condemn something roundly means that you love it completely.
1548.102,1551.404,"And it's just like, come on, Twitter, you don't have to be this black and white."
1551.444,1555.887,"I recognize that in a hundred forty characters, there's not gonna be a lot of nuance, but come on."
1557.068,1559.069,"But yeah, you do run across that from time to time."
1559.289,1560.73,So I'm sorry that you had to go through that.
1561.249,1569.628, I just wanted to get it out there and I wanted the people who got mad at me on Twitter where I have twelve hundred followers
1570.919,1599.106, to know that have to do with the nothing that does okay to know that now because they got mad at me being i'm praising tower heist on my podcast which has way more than twelve hundred uh... people uh... listening yeah i think that's about right above it more and i don't know what what you know uh... a significant percentage more significantly more than twelve hundred people now are hearing my pro tower heist opinion because you didn't like it so take that twitter people
1601.127,1610.651, and you call David a contrarian anyway but this brings me the real thing I was thinking about that day
1613.877,1615.558, I mentioned the Tower Heist could have had more laughs.
1616.398,1628.243,"Another movie I watched that day that I liked a lot more, that I had mentioned earlier, I watched a Blu-ray at home, that also maybe could have had a few more laughs was Attack the Block."
1629.744,1635.087,"And so I started thinking, well, neither of these is..."
1636.207,1653.89, a straightforward comedy why am i expecting more laughs yeah so i started thinking about the idea in general of genre hybrid movies um and i mean let's get into it shall we i want to talk about
1655.712,1669.785, the different i want to start off by talking about the difference between movies that clearly someone said like hey let's do a mix of this genre right in this genre um and you know
1671.086,1682.696, It'll be it's very sort of knowing in that way and then things that are just regular movies that get shoehorned into like well That's an action comedy or that's a that's a horror Western or whatever.
1682.996,1699.069,"Yeah, I don't know if I have any horror Westerns on here on my list, but Do you have any any thoughts on that because I guess what I'm saying is that neither of those films attack the block nor tower heist and"
1702.009,1706.331, feels like a self-conscious hybrid.
1706.972,1708.332,Feels like I'm bringing that to it.
1708.432,1719.478,"Like, well, Brett Radner has made things that are nominally comedies in the past, and it's got Ben Stiller, Eddie Murphy, both of whom are very, very funny, or have been very funny."
1720.058,1722.499,"Michael Pena, who is always awesome."
1722.579,1723.84,Casey Affleck is funny.
1723.86,1725.661,It's got funny people in it.
1727.021,1729.723,I guess I'm just expecting a comedy.
1731.524,1745.235," And that's not really fair because that's not... Yeah, it is kind of... When you told me about this topic, and I was thinking about it, I just found myself getting frustrated because we've talked before about"
1748.541,1750.702, I don't think I would put this on the audience.
1751.382,1752.663,I could put it on studios.
1752.723,1757.145,I could put it on exhibitors and distributors.
1758.065,1760.666,I would couple in video stores with that.
1762.587,1763.907,And just this need to
1766.488,1767.409, simplify things.
1768.109,1772.832,"I mean, we both worked at video stores, and there's the drama section, the comedy section."
1772.852,1775.593,There is no comedy-drama section.
1775.613,1777.534,There is no drama-horror section.
1778.475,1779.955,It goes in one or the other.
1779.975,1785.298,"And I remember I would frequently, as I was putting movies back on the shelf, be like, what is this doing here?"
1785.398,1787.399,"And then part of me is like, well, where else would I put it?"
1787.439,1788.84,It doesn't go into any of these easily.
1790.041,1795.244,And so I was often surprised to see how much Woody Allen was in the drama section.
1796.625,1802.511," And how much, like, Wes Anderson was just straight up in the comedy section."
1803.692,1812.061,"And how many, like, suspense films that were just, there's no question, they were just suspense films, were in the horror section."
1812.201,1812.661,It's just...
1813.883,1831.105, like seven or something being in horror you know what there's there's a grizzly there's a grizzly quality to seven that I say like okay sure I mean like the Boston Strangler with Tony Curtis like right aside for like that's like putting Zodiac in in horror in horror yeah it's
1832.126,1833.567, I guess there's horrific things to it.
1833.607,1834.948,"I mean, if you want to look at it that way."
1834.968,1838.91,"There's some very horrific things in Zodiac, or in The Boston Strangle, which I haven't seen."
1839.05,1842.692,"And there's some grisly imagery in Henry Portrait of a Serial Killer, but I'm not sure."
1842.952,1846.534,"And it is largely considered to be horror, but that seems like more of a drama to me."
1847.895,1852.577,"And so I just started thinking in those terms, and I went through various"
1854.398,1868.17," I'm not sure if I'd say these are the most common genre hybrids, but the first ones to pop into my mind, but that like how often people are just, and I'm probably like this as well."
1869.813,1890.622, they will only think of this a certain way when it is clearly supposed to be a mix of the two uh... one that i actually didn't write down but i'm just thinking of now like i mean is is scott pilgrim an action movie or a comedy uh... yeah that's that's a good point and that's uh... mean and writes one of those is very good at it uh...
1892.183,1903.109," But Scott Pilgrim is different than Shaun of the Dead and Hot Fuzz, because those are, I think, the thing I'm talking about where they're self-conscious about their mixing."
1903.309,1906.971,"Whereas, yeah, Scott Pilgrim is both."
1907.452,1913.135,And I think that's... I don't feel the need to call it an action comedy.
1913.775,1918.838," I can call it a comedy if I'm talking about it in comedic terms, and I can call it an action film if I'm talking about it in action terms."
1918.959,1929.105,"I recently said that it, on Twitter, I've been, like I said, been tweet-happy, that it was one of the top five action movies of the last five years."
1929.706,1933.968,"So I was doing this thing, I was thinking, oh, I'm really excited to see Mission Impossible IV, which I still haven't done."
1934.929,1938.65," Because I love Mission Impossible III, and then I was like, oh, Apocalypto came out that year too."
1938.83,1940.25,That was a good year for action movies.
1940.791,1941.811,That was five years ago.
1942.351,1947.752,I wonder what the five best action movies to have come out since Mission Impossible III and Apocalypto are.
1947.972,1949.773,And so I tweeted them and I don't even remember what they were.
1949.953,1950.153,Right.
1950.693,1954.294,"Did that, did that, did including Scott Pilgrim, did that get any sort of reaction?"
1954.679,1979.582, now i think that well that's because the distraction was that i included uh... infant was shooter uh... on my last night i still defend to this day i know i think it is a is a wonderful film uh... but most yet most of the responses were like shooter really but you'd be surprised well maybe maybe you wouldn't but i think people be surprised how often uh... critics
1981.123,1995.377, I think when you're dealing with comedy especially how often critics say that like too much action or too much visual effects Ruins the laughter because laughter needs to feel spontaneous and few things feel more choreographed than an action sequence even
1996.938,2024.265, even if it's even if it doesn't feel choreographed the knowledge that it is makes the laughter not work and this goes back i remember while ghostbusters was generally loved there were there were a handful of people who said like i don't know i don't know special effects and comedy go well together um and i'm sure and i think i i seem to recall reading some reviews about scott pilgrim is just like i mean the action was so well done that i i was
2025.885,2028.826," I don't think they spoke this hyperbolically, but I'll use this."
2029.166,2033.488,"It's like I was so breathless that I had no breath left over to laugh, you know?"
2033.568,2042.371,"And it's just... But I still think that's, I mean... I think that's valid, that I think special effects in comedy is a hard thing to pull off."
2042.411,2047.492,"Not all films are Scott Pilgrim or Ghostbusters, which, I mean, Ghostbusters is..."
2050.931,2072.108, less funny toward the end uh... i i i i think uh... when the special effects become bigger it goes but is it on my list for other reasons because it starts off with what with that legitimate horror scene oh yeah uh... but let me look at movies like evolution you know uh... that's direct by and i'm and i'm and yet and that's the perfect example of
2073.209,2083.863," CG and like big, you know visual effects and comedy just not working because the comedy clearly took a backseat and like Orlando Jones and David Duchovny clearly both think they're in different types of comedies."
2083.883,2084.925,Have you seen the film?
2085.065,2085.505,"I saw it, yeah."
2085.525,2087.228,It is uncomfortable to watch.
2087.368,2087.588,Yeah.
2088.109,2088.81,It's not good.
2090.391,2096.697," Well, I do want to focus on Ghostbusters a little bit because one thing that I like about it... What?"
2097.217,2100.02,I was thinking of the part from Evolution that makes me laugh.
2100.22,2100.56,Which is what?
2100.58,2103.663,Which is the interview with the redneck guy who got his hand bitten off by an alien.
2103.683,2104.584,I don't remember that part.
2104.604,2106.285,He's just like talking in this sort of like...
2107.046,2113.529," drawl and he's like, I saw it, walked over to check on it, jumped up and he holds up his thumb, he's like, you took my hand."
2114.89,2115.61,Do you know who plays?
2115.65,2115.891,I don't.
2116.271,2117.211,I bet it's somebody of note.
2118.632,2121.373,"But, you know, it's interesting."
2122.754,2126.236,"I've been, for no particular reason, I've been, oh, no, that's not true."
2126.616,2127.657,There is a specific reason.
2128.077,2129.317,"Somebody, I don't remember who,"
2132.797,2148.846," it was, I don't remember who, but that's okay, tweeted or put on Facebook a photo, a rather sad photo of Ernie Hudson at a, one of those conventions where you, you know, where celebrities sign photos and that sort of thing."
2149.186,2150.727,That doesn't necessarily make it sad.
2151.007,2153.408,What makes it sad is that he's in his Ghostbusters outfit.
2153.908,2156.87,"And it's just like, oh God, that's unfortunate."
2158.471,2160.652,"And so I've been thinking a lot about Ghostbusters and part of me is like,"
2161.813,2162.533," It's like, you know what?"
2163.994,2165.736,"My first instinct was like, oh, that's sad."
2165.796,2167.517,"And I was like, that's Ernie Hudson."
2167.677,2168.658,He was in Oz.
2168.918,2171.32,"He was in, you know, he's doing fine."
2171.8,2173.121,He's just doing this thing as well.
